job_id,title,company_profile,description,requirements,benefits,fraudulent,true_label,fraud_score,fraud_probability,score_type,threshold,predicted_label,error_type,seed,model_label,model_group,case_type
6907,Administrative Assistant,,"Open/close office, manage phones, greet and direct visitor'sProvide one-on-one assistance to the President of companyMaintain calendars and appointment schedulesOversight &amp; reporting of A/R and accounts payableGeneral office duties: email, mail sorting, scanning, faxing, return calls, tidyingMaintain inventory and suppliesAvailable to answer evening &amp; weekend emergency calls35-40 hours per week","Must take PRIDE in work tasksSuperb Customer Service skillsStrong knowledge of Microsoft Windows and internetProficient in Microsoft Office: Word, ExcelKnowledge of business equipment such as printers, fax and scannersMust be able to thrive in a fast paced environment but self-start during low volume calls",Compensation is determined on an individual basis depending on previous experience and job skills.,0,0,0.9998862743377686,0.9998862743377686,probability,0.33,1,FP,123,BERT,transformer,high_confidence_fp
17860,Immediate Requirement: iOS Developer for Qatar,,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; Government offerings.VAM SYSTEMS is currently looking for iOS Developer for our Qatar operations:Experience Required: Minimum 4 Years.Terms and conditions: Joining time frame:   immediateThe selected candidates shall join VAM SYSTEMS – Qatar and shall be deputed to one of the leading Organizations in Qatar. "," iOS programming “Objective – C “, C++#URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a#SQL/mySQLPHP, PhythonArabic speaking is Preferred",,0,0,0.9998409748077391,0.9998409748077391,probability,0.1,1,FP,2024,BERT,transformer,high_confidence_fp
16971,Customer Service - Work From Home,,"Do you have 1+ year of customer service/call center experience? Are you looking for flexibility in scheduling and the availability to work from home? We are currently hiring customer service agents with flexible scheduling and you can work from anywhere! This is not a sales position and you do not make outbound calls. Calls you will be taking will be inbound customer service calls!Visit our website at #URL_9b0fb9ec146bbc704d2a4d03360bd38857452f25a28451a579e4a03ec53b08ee# and click on ""Get Started"" to complete a job application. Looking for a positive change in your career?  Are you ready to start working from home?Job Description:* Assisting customers on inbound calls from your home* Answering questions about service* Walking customers through product/service* Updating customer information","Job Requirements/Qualifications:* 1+ year of Customer Service Experience* Quiet home office environment* Computer with Internet Explorer 8 * Headset with microphone for your computer* Landline Telephone (POTS)* Headset with noise cancelling microphone* Telephone* Highspeed internet* Ability to work unsupervised* Ability to read and follow directions* 1+ years experience in customer service* Experience telecommuting a plus* High school diploma or GEDTechnology Requirements:Computer with the following requirements: Windows Vista or greater, 1 GHzProcessor or greater, minimum 1 GB RAM, Internet Explorer, Virus ProtectionSoftware, Minimum 1 GB of available hard drive space§ High Speed DSL or CableModem Internet Service (Speed should be at least 6.0 MB/s download and 786 KB/supload)§ Basic ResidentialTelephone Service - Analog or Digital§ Corded headset with anoise-cancelling microphone","* 1099 Contract * Work From Home* Average of $8-15 per hour* Flexible schedule (you pick your slots in 30 min increments)* 7 days a week, 24 hours a day* Performance Based Pay- the better you are the more you get paid!",0,0,0.9997320771217346,0.9997320771217346,probability,0.72,1,FP,42,BERT,transformer,high_confidence_fp
6907,Administrative Assistant,,"Open/close office, manage phones, greet and direct visitor'sProvide one-on-one assistance to the President of companyMaintain calendars and appointment schedulesOversight &amp; reporting of A/R and accounts payableGeneral office duties: email, mail sorting, scanning, faxing, return calls, tidyingMaintain inventory and suppliesAvailable to answer evening &amp; weekend emergency calls35-40 hours per week","Must take PRIDE in work tasksSuperb Customer Service skillsStrong knowledge of Microsoft Windows and internetProficient in Microsoft Office: Word, ExcelKnowledge of business equipment such as printers, fax and scannersMust be able to thrive in a fast paced environment but self-start during low volume calls",Compensation is determined on an individual basis depending on previous experience and job skills.,0,0,0.9997289776802064,0.9997289776802064,probability,0.1,1,FP,2024,BERT,transformer,high_confidence_fp
537,Part-Time Administrative/Data Entry I,,"As Part Time Administrative Assistant/ Data Entry I you will be responsible for:-         Reporting directly to Account Managers-         Professional phone communication; phones, fax, email-         Responding to and resolving Customer Service issues-         Assisting managers and their meetings; transcribing notes, copying, organizing, preparing documents, samples, coordinating travel, agenda’s and more.-         Preparing weekly and monthly sales and social media tracking reports-         Researching products and companies with ability to simplify/summarize information-         Facilitating, organizing, filing and tracking electronic and paper documents, samples, supplies, meetings, office shipments and sample returns-         Assisting with social media postings, on-line order processing and general administrative duties. ","Candidates must possess the following skills/qualifications to be considered for this position:-         Minimum of 2 years Professional office experience-         Excellent communication via phone, e-mail, fax, and in person with great professionalism, confidentiality, and tact.-         A “can do” attitude, handling all people and situations with a calm, courteous, and helpful attitude.-         Self-starter with excellent follow through and problem solving abilities.-         Must be on time and committed to position and company both physically and mentally throughout work day.-         Detail oriented with ability to track, manage, and organize multiple tasks on time is imperative.-         Proficiency in Microsoft Word, Excel, and PowerPoint is REQUIRED-         Ability to perform repetitive work while following specific processes on a daily basis.-         Ability to work independently and as a team.-         Ability to manage and organize all areas of work efficiently.-         Ability to travel to Dana Point, CA Monday – Friday.-         Ability to pass a drug test.-         Photo Shop skills are a plus.-         Warehouse Club experience is a plus. IMPORTANT: Instructions to submit your resume:-         INCLUDE three references with your resume. Submissions included without references will not be considered for this position.-         Include a cover letter (typed in the e-mail or attached as a PDF)Interview Process:1)      Telephone interview.2)      In office interview and possible skills testing.3)      Possible follow up interview in office and personality testing.",The selected candidate will benefit from the following:- Ability to rise up within the company- Business experience and mentorship - Flexible hours,0,0,0.9994995594024658,0.9994995594024658,probability,0.33,1,FP,123,BERT,transformer,high_confidence_fp
1200,Casual/Part-Time Position,,Our International Company is seeking an active employee. We give a work for everybody.Part-Time $430 per a week.Basic characteristics:· Energy· Enthusiasm· Willingness to learn· Strong work ethic· ReliabilityWe are looking forward for your CV with your full name and e-mail. #EMAIL_00e35a10817c0d8e20fb7b138204884f53bb960cf21350f2232d5cb7cd8ff070#,Main requirements:- free time presence;- Computer with internet access;- mobile contact;- computer skills on the user level.No Experience Necessary. We Train You.,"Working days - from Monday to Friday;Working time - from 8:00 am till 12:00 pm, Part-time;",0,0,0.9994329810142516,0.9994329810142516,probability,0.1,1,FP,2024,BERT,transformer,high_confidence_fp
537,Part-Time Administrative/Data Entry I,,"As Part Time Administrative Assistant/ Data Entry I you will be responsible for:-         Reporting directly to Account Managers-         Professional phone communication; phones, fax, email-         Responding to and resolving Customer Service issues-         Assisting managers and their meetings; transcribing notes, copying, organizing, preparing documents, samples, coordinating travel, agenda’s and more.-         Preparing weekly and monthly sales and social media tracking reports-         Researching products and companies with ability to simplify/summarize information-         Facilitating, organizing, filing and tracking electronic and paper documents, samples, supplies, meetings, office shipments and sample returns-         Assisting with social media postings, on-line order processing and general administrative duties. ","Candidates must possess the following skills/qualifications to be considered for this position:-         Minimum of 2 years Professional office experience-         Excellent communication via phone, e-mail, fax, and in person with great professionalism, confidentiality, and tact.-         A “can do” attitude, handling all people and situations with a calm, courteous, and helpful attitude.-         Self-starter with excellent follow through and problem solving abilities.-         Must be on time and committed to position and company both physically and mentally throughout work day.-         Detail oriented with ability to track, manage, and organize multiple tasks on time is imperative.-         Proficiency in Microsoft Word, Excel, and PowerPoint is REQUIRED-         Ability to perform repetitive work while following specific processes on a daily basis.-         Ability to work independently and as a team.-         Ability to manage and organize all areas of work efficiently.-         Ability to travel to Dana Point, CA Monday – Friday.-         Ability to pass a drug test.-         Photo Shop skills are a plus.-         Warehouse Club experience is a plus. IMPORTANT: Instructions to submit your resume:-         INCLUDE three references with your resume. Submissions included without references will not be considered for this position.-         Include a cover letter (typed in the e-mail or attached as a PDF)Interview Process:1)      Telephone interview.2)      In office interview and possible skills testing.3)      Possible follow up interview in office and personality testing.",The selected candidate will benefit from the following:- Ability to rise up within the company- Business experience and mentorship - Flexible hours,0,0,0.9994127750396729,0.9994127750396729,probability,0.1,1,FP,2024,BERT,transformer,high_confidence_fp
38,PROJECT MANAGER,,"we are looking for a Project Manager. The Project Manager works within the Project Management Department, which is responsible for the management of offshore projects, executed for major oil and gas exploration companies worldwide. The Project Manager manages projects in compliance with the applicable management systems and in such a way that they are delivered on time and within budget, to the highest quality, operational and HSE standards and, most importantly, to the excellent satisfaction of our client. The Project Manager will establish and nurture long-standing relationships with our clients. Job requirements BSc or MSc degree in Civil Engineering, Mechanical Engineering, Offshore Engineering or equivalent; A minimum of 10 years offshore installation experience, preferably heavy lift or pipelay, and 3 years in a (project) management position; Extensive experience working in multi-disciplinary teams; Good communicator, building and developing relationship with clients and other external parties; Good command of the English language, both written and spoken; Excellent contractual, negotiation and people management skills; Self-motivated, with a proven track record of commercial success; Willingness to travel. Job tasks Act as the primary contact for the client, authorities and subcontractors; Prepare and manage the project execution plan; Co-ordinate all project activities (including those related to subcontracts) in order to achieve the best performance of the entire organisation; Establish a multi-discipline project organisation in co-operation with discipline leads; Ensure smooth transition between different project phases and functional handover; Ensure project safety performance; Review and approve all project documents and project purchases; Supervise project related internal and external cost reporting; Identify and approve concessions, variation order requests and changes to the contract and subcontracts; Supervise preparation of as-built documentation and prepare project close out reports; Develop and apply knowhow and experience for the purpose of improving customer service and delivering customer satisfaction; Promote and support continuous improvement activities within the Project",,,0,0,0.9990655779838562,0.9990655779838562,probability,0.1,1,FP,2024,BERT,transformer,high_confidence_fp
5448,Customer Service Agent,,"Position: Call Center Customer Service AgentDo you make friends feel better when they are down?Do you help relatives set up email on their computer?AND you do it over the phone!! If you do, you should use your compassion and put your service skills to use to help you earn money and start a career in customer service. Where is this opportunity?Gauteng How much do they pay?R 5,000 - R10,000/month + commission  What do they want me to do?Help new and existing customers to solve their problems.Explain how specific products and services workAnswer customers’ questions about products, prices, availability.Maintain customer records, on computer systemsResolve problems by clarifying issues; researching and exploring answers and alternative solutions; escalating unresolved problems.Fulfill requests by clarifying desired information; completing transactions; forwarding requests.","What are the basic requirements?- Matric or equivalent- 1 years experience in a call center- A willingness to help people, even when they are shouting at you- Be nice",,0,0,0.9983865022659302,0.9983865022659302,probability,0.33,1,FP,123,BERT,transformer,high_confidence_fp
537,Part-Time Administrative/Data Entry I,,"As Part Time Administrative Assistant/ Data Entry I you will be responsible for:-         Reporting directly to Account Managers-         Professional phone communication; phones, fax, email-         Responding to and resolving Customer Service issues-         Assisting managers and their meetings; transcribing notes, copying, organizing, preparing documents, samples, coordinating travel, agenda’s and more.-         Preparing weekly and monthly sales and social media tracking reports-         Researching products and companies with ability to simplify/summarize information-         Facilitating, organizing, filing and tracking electronic and paper documents, samples, supplies, meetings, office shipments and sample returns-         Assisting with social media postings, on-line order processing and general administrative duties. ","Candidates must possess the following skills/qualifications to be considered for this position:-         Minimum of 2 years Professional office experience-         Excellent communication via phone, e-mail, fax, and in person with great professionalism, confidentiality, and tact.-         A “can do” attitude, handling all people and situations with a calm, courteous, and helpful attitude.-         Self-starter with excellent follow through and problem solving abilities.-         Must be on time and committed to position and company both physically and mentally throughout work day.-         Detail oriented with ability to track, manage, and organize multiple tasks on time is imperative.-         Proficiency in Microsoft Word, Excel, and PowerPoint is REQUIRED-         Ability to perform repetitive work while following specific processes on a daily basis.-         Ability to work independently and as a team.-         Ability to manage and organize all areas of work efficiently.-         Ability to travel to Dana Point, CA Monday – Friday.-         Ability to pass a drug test.-         Photo Shop skills are a plus.-         Warehouse Club experience is a plus. IMPORTANT: Instructions to submit your resume:-         INCLUDE three references with your resume. Submissions included without references will not be considered for this position.-         Include a cover letter (typed in the e-mail or attached as a PDF)Interview Process:1)      Telephone interview.2)      In office interview and possible skills testing.3)      Possible follow up interview in office and personality testing.",The selected candidate will benefit from the following:- Ability to rise up within the company- Business experience and mentorship - Flexible hours,0,0,0.998016119003296,0.998016119003296,probability,0.72,1,FP,42,BERT,transformer,high_confidence_fp
